created_at,text
2024-12-02 14:48:58+00:00,"@CyclesWithBach The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
2024-12-02 14:48:58+00:00,"@AltCryptoGems @TheSandboxGame @CoinMarketCap Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:48:57+00:00,@GuntherEagleman 🤣Biden pardons Pelosi for trading stocks from 1780 - 2030!
2024-12-02 14:48:56+00:00,"@DSPetolicchio @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:48:55+00:00,"@rajeshsawhney @MadhusudanKela India unlike East Asia/China is not a drinking society. Also in the US, alcohol amongst genZ is on a decline and seems to be going the way of cigarettes. It may not be that big of a bull case, as described here. 

Having said that I still own stocks of Titagarh Industries tho 😄"
2024-12-02 14:48:55+00:00,"@CryptoTony__ 🚀 Explore top-tier DeFi trading with $RCOF Finance! Our autonomous AI platform offers low fees and access to 10,000+ assets, including stocks, bonds, and high leverage options up to 1:1000. Don't miss out on the future of trading.

#DeFi #Crypto #AI #RCOF

X @Rcofinance https://t.co/serwDSPKa0"
2024-12-02 14:48:55+00:00,-_- stay away from my stocks Jim https://t.co/FKsunoV8o6
2024-12-02 14:48:53+00:00,"@WClementeIII I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:48:53+00:00,"@Banana3Stocks I stumbled upon this blogger @Speculators_

After watching him for a while and seeing how accurate his trades were, I followed his advice and bought the same stocks as him and made $125,300.

I think everyone should follow him, this is amazing"
2024-12-02 14:48:49+00:00,"@JamesBoydCS I have been losing money in the stock market before. @Adityafajarkus2 is my luck. His posts share rising stocks for free every day. I have made 50,000 US dollars now. Thank you so much."
2024-12-02 14:48:48+00:00,"@crypto_queen_x Also follow this guy @AmbriaLatay

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:48:48+00:00,"@MichelleMaxwell @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:48:45+00:00,"8630 ＳＯＭＰＯホールディングス(株)
+155(3.93%) 
今期配当予想増額修正で高配当利回り着目の資金流入
びっくりしたわ これ明日爆上げじゃん
https://t.co/0QRPaRmlNF"
2024-12-02 14:48:42+00:00,"@TheMoonHailey Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:48:42+00:00,"@StogsAndStoics @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:48:41+00:00,"@CryptoDonAlt Recession resistant stocks, precious metals/gems, t-bills, btc"
2024-12-02 14:48:39+00:00,"@WhalePenny The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
2024-12-02 14:48:37+00:00,"@JesusMartinezEZ I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:48:37+00:00,Stocks Skyrocket! What's Fueling the Quantum Computing Boom? - https://t.co/Iy9DKnjS0y https://t.co/fGQTZpmHEi #QuantumComputing
2024-12-02 14:48:36+00:00,Quantum Computing's Big Leap: Investment Fuels Stocks and Innovation Worldwide https://t.co/nsy1a8nd4h #QuantumComputing
2024-12-02 14:48:35+00:00,"@proverbs_18_2 @80IQmindset mNav is isually for High yield stocks,  they usually have to respect a ratio to be able to pay the yield n have a stable price."
2024-12-02 14:48:35+00:00,"@reallouiehuey @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:48:35+00:00,"🎄 Dasher’s Daily Deals are Here 🎄

It’s Day 2 of Dasher’s Daily Deals at Massy Stores.

Available at all 23 locations on Monday 2nd December 2024, while stocks last!

#MassyStores  #Day2 #DashersDailyDeals https://t.co/DfblZ07obc"
2024-12-02 14:48:34+00:00,"Fintech Stocks Have Taken Off. Don’t Buy Yet, These Analysts Say. https://t.co/nhvXclKrV9"
2024-12-02 14:48:32+00:00,"Best and worst performing stocks for November 2024: EUNISELL leads with a 242.88% surge, while OANDO falls by 27.55%. #stockmarketnews  #FinanceNews  #investing  #StocksInFocus  #MarketUpdates  #november2024 #nigeriastory https://t.co/s3DdPw1lsY"
2024-12-02 14:48:30+00:00,"@WClementeIII Also follow this guy @AmbriaLatay

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:48:30+00:00,"BTC Dominance Tumbles as Altcoins Rumble: Crypto Daybook Americas
Bitcoin is starting the week on a despondent note, trading 2% lower at $95,000 amid risk-off sentiment in traditional markets. European stocks are falling and the euro is diving against the dollar as concern the… https://t.co/25GXkGyoqR"
2024-12-02 14:48:29+00:00,"I have been investing and trading since 1987. One thing to know if you don’t know…stocks like $AMPX and $ACHR, $KULR can violently move up or down in minutes, hours etc. If trading a short time horizon your emotions will get decimated if not careful."
2024-12-02 14:48:29+00:00,@InvestRepeat Microcap stocks is only basket where FII has nothing to sell 😂
2024-12-02 14:48:28+00:00,"@TheDonOfApes I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:48:26+00:00,@80IQmindset MSTR is not an etf! Stop comparing it to one. What equity are you invested in?  Microsoft? Nvdia? Meta? So these stocks should be valued at their net assets? MSTf has assets of 512mm on their balance sheet yet market cap of 3trillion. And that 512mm prob includes goodwill etc… https://t.co/JO4Dit12Om
2024-12-02 14:48:26+00:00,"★ Cyber Monday Sale ★ December's Winning Stocks: Stock Picks Based on AI ★ I Know First Webinar Replay: Discover the Top 10 Stock Picks for the End of the Year Using AI &gt;&gt; https://t.co/K6tNzzGTrG 

#stocks #stockmarket #stocktrading #investing https://t.co/sRsXisU3UI"
2024-12-02 14:48:25+00:00,"The key to wealth? Patience. Whether in stocks, real estate, or business, long-term thinking beats short-term moves."
2024-12-02 14:48:25+00:00,"@TheBTCTherapist Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:48:24+00:00,"@Gotzeuus @CryptoRiseGroup The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
